start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2021-01-20,2021-01-23,CAWS20,3,3,hardy83,bansa,[Discipline]/Anarchy/Finesse,[Finesse]/Blood/Fire,,bansa,normal,forum,,charnel_mouse,
2021-01-20,2021-01-26,CAWS20,3,4,FrozenStorm,CarpeGuitarrem,Nightmare,MonoRed,,FrozenStorm,normal,forum,,charnel_mouse,
2021-01-20,2021-01-22,CAWS20,3,5,Steve44,Nekoatl,[Disease/Necromancy]/Discipline,[Demonology/Disease]/Truth,,Steve44,normal,forum,,charnel_mouse,
2021-01-25,2021-01-30,CAWS20,4,1,bansa,zhavier,[Finesse]/Blood/Fire,[Blood]/Feral/Strength,,zhavier,normal,forum,,charnel_mouse,
2021-01-26,2021-01-30,CAWS20,4,2,charnel_mouse,Bomber678,[Demonology/Disease]/Discipline,[Finesse]/Anarchy/Strength,,Bomber678,normal,forum,,charnel_mouse,
2021-01-26,2021-01-28,CAWS20,4,3,Unity,FrozenStorm,[Future/Present]/Peace,Nightmare,,FrozenStorm,normal,forum,,charnel_mouse,
2021-01-28,2021-02-02,CAWS20,4,4,CarpeGuitarrem,Steve44,MonoRed,[Disease/Necromancy]/Discipline,,CarpeGuitarrem,normal,forum,,charnel_mouse,
2021-01-28,2021-02-01,CAWS20,4,5,Nopethebard,hardy83,MonoRed,[Discipline]/Anarchy/Finesse,,hardy83,forfeit,forum,,charnel_mouse,Nope forfeits and drops early on turn 2
2021-02-03,2021-02-07,CAWS20,5,1,Bomber678,FrozenStorm,[Finesse]/Anarchy/Strength,Nightmare,,Bomber678,normal,forum,,charnel_mouse,
2021-02-03,2021-02-06,CAWS20,5,2,Steve44,bansa,[Disease/Necromancy]/Discipline,[Finesse]/Blood/Fire,,bansa,normal,forum,,charnel_mouse,
2021-02-03,2021-02-08,CAWS20,5,3,zhavier,charnel_mouse,[Blood]/Feral/Strength,[Demonology/Disease]/Discipline,,zhavier,normal,forum,,charnel_mouse,
2021-02-03,2021-02-05,CAWS20,5,4,CarpeGuitarrem,hardy83,MonoRed,[Discipline]/Anarchy/Finesse,,CarpeGuitarrem,normal,forum,,charnel_mouse,
2021-02-08,2021-02-10,CAWS20,6,1,bansa,Bomber678,[Finesse]/Blood/Fire,[Finesse]/Anarchy/Strength,,bansa,normal,forum,,charnel_mouse,
2021-02-08,2021-02-12,CAWS20,6,2,zhavier,CarpeGuitarrem,[Blood]/Feral/Strength,MonoRed,,zhavier,normal,forum,,charnel_mouse,
2021-02-13,2021-02-17,CAWS20,7,1,Bomber678,zhavier,[Finesse]/Anarchy/Strength,[Blood]/Feral/Strength,,Bomber678,normal,forum,,charnel_mouse,
2021-02-12,2021-02-17,CAWS20,7,2,FrozenStorm,bansa,Nightmare,[Finesse]/Blood/Fire,,bansa,normal,forum,,charnel_mouse,
